iter	Passed	Remaining
0	50	5014
1	51	2546
2	53	1720
3	54	1311
4	55	1063
5	57	901
6	59	788
7	60	697
8	61	625
9	63	567
10	64	519
11	65	479
12	66	445
13	67	412
14	68	385
15	68	362
16	69	341
17	70	323
18	72	307
19	73	294
20	74	281
21	76	269
22	77	258
23	78	248
24	79	238
25	80	228
26	81	219
27	82	211
28	83	203
29	84	198
30	86	191
31	87	185
32	88	179
33	89	173
34	90	168
35	92	163
36	93	158
37	94	153
38	95	149
39	96	144
40	97	140
41	98	136
42	100	132
43	101	128
44	102	124
45	104	122
46	105	118
47	106	115
48	107	112
49	108	108
50	109	105
51	110	101
52	111	98
53	112	95
54	112	92
55	113	89
56	114	86
57	115	83
58	116	81
59	117	78
60	118	75
61	119	73
62	121	71
63	122	68
64	123	66
65	124	63
66	124	61
67	125	59
68	126	56
69	127	54
70	127	52
71	128	50
72	129	48
73	130	45
74	131	43
75	132	41
76	133	39
77	134	37
78	135	35
79	136	34
80	137	32
81	137	30
82	138	28
83	139	26
84	140	24
85	141	22
86	141	21
87	142	19
88	143	17
89	144	16
90	145	14
91	146	12
92	146	11
93	147	9
94	148	7
95	149	6
96	150	4
97	151	3
98	152	1
99	152	0
